PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Pittsfield DPU Water Dept.,L,Ashley WTP,SW,manganese,0.4,TRUE,5.4,MA,2018-06-13
Pittsfield DPU Water Dept.,L,Ashley WTP,SW,manganese,0.4,TRUE,4.3,MA,2018-09-18
Pittsfield DPU Water Dept.,L,Ashley WTP,SW,manganese,0.4,TRUE,2.1,MA,2018-12-18
Pittsfield DPU Water Dept.,L,Ashley WTP,SW,manganese,0.4,TRUE,4,MA,2019-03-20
South Hadley FD #1,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,2.47,MA,2019-01-09
South Hadley FD #1,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,1.78,MA,2019-04-08
South Hadley FD #1,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,1.46,MA,2019-07-08
South Hadley FD #1,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,4.42,MA,2019-10-08
Springfield Water & Sewer Commission,L,West Parish Filters,SW,manganese,0.4,TRUE,9.3,MA,2019-03-12
Springfield Water & Sewer Commission,L,West Parish Filters,SW,manganese,0.4,TRUE,10.3,MA,2019-06-10
Springfield Water & Sewer Commission,L,West Parish Filters,SW,manganese,0.4,TRUE,13.2,MA,2019-09-10
Springfield Water & Sewer Commission,L,West Parish Filters,SW,manganese,0.4,TRUE,4.9,MA,2019-12-10
Ware Water Dept.,S,Barnes St. TP,GW,manganese,0.4,TRUE,61.128,MA,2018-06-04
Ware Water Dept.,S,Barnes St. TP,GW,manganese,0.4,TRUE,116.195,MA,2018-12-10
Ware Water Dept.,S,Well 5 TP,GW,manganese,0.4,TRUE,167.64,MA,2018-06-04
Ware Water Dept.,S,Well 5 TP,GW,manganese,0.4,TRUE,163.37,MA,2018-12-10
Westfield Water Dept.,L,Granville Reservoir WTP,SW,manganese,0.4,TRUE,16.8,MA,2019-09-25
Westfield Water Dept.,L,Granville Reservoir WTP,SW,manganese,0.4,TRUE,61.9,MA,2019-12-05
Westfield Water Dept.,L,Granville Reservoir WTP,SW,manganese,0.4,TRUE,2.87,MA,2020-03-25
Westfield Water Dept.,L,Granville Reservoir WTP,SW,manganese,0.4,TRUE,43,MA,2020-06-17
Westfield Water Dept.,L,GP Well #1,GW,manganese,0.4,TRUE,1.36,MA,2019-09-25
Westfield Water Dept.,L,Well #2 GAC WTP,GW,manganese,0.4,TRUE,0.416,MA,2020-03-25
Westfield Water Dept.,L,Well #5,GW,manganese,0.4,TRUE,1.81,MA,2019-09-25
