PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Lino Lakes,L,Well #3 TP,GW,manganese,0.4,TRUE,367,MN,2019-10-08
Lino Lakes,L,Well #3 TP,GW,manganese,0.4,TRUE,384,MN,2020-06-16
Lino Lakes,L,Well #4 TP,GW,manganese,0.4,TRUE,82.7,MN,2019-10-08
Lino Lakes,L,Well #4 TP,GW,manganese,0.4,TRUE,86.5,MN,2020-06-16
Fridley,L,Treatment Plant 1 - Commons Park,GW,manganese,0.4,TRUE,10.9,MN,2020-01-27
Fridley,L,Treatment Plant 1 - Commons Park,GW,manganese,0.4,TRUE,27.9,MN,2020-07-22
Fridley,L,Treatment Plant 2 - Locke Park,GW,manganese,0.4,TRUE,3.2,MN,2020-07-22
Fridley,L,Treatment Plant 3,GW,manganese,0.4,TRUE,22.9,MN,2020-01-27
Fridley,L,Treatment Plant 3,GW,manganese,0.4,TRUE,24.6,MN,2020-07-22
Andover,L,Treatment Plant #1,GW,manganese,0.4,TRUE,5.862,MN,2018-03-12
Andover,L,Treatment Plant #1,GW,manganese,0.4,TRUE,4,MN,2018-09-24
Ramsey,L,Well #1 TP,GW,manganese,0.4,TRUE,263.005,MN,2018-06-18
Ramsey,L,Well #1 TP,GW,manganese,0.4,TRUE,319,MN,2018-12-03
Ramsey,L,Well #4 TP,GW,manganese,0.4,TRUE,226,MN,2018-06-18
Ramsey,L,Well #4 TP,GW,manganese,0.4,TRUE,365,MN,2018-12-03
Ramsey,L,Well #6 TP,GW,manganese,0.4,TRUE,20.7,MN,2018-06-18
Ramsey,L,Well #6 TP,GW,manganese,0.4,TRUE,20,MN,2019-03-11
Bemidji,L,Combined Discharge,GW,manganese,0.4,TRUE,198,MN,2018-01-29
Bemidji,L,Combined Discharge,GW,manganese,0.4,TRUE,208,MN,2018-07-18
Blackduck,S,Treatment Plant (New),GW,manganese,0.4,TRUE,25.065,MN,2018-02-07
Blackduck,S,Treatment Plant (New),GW,manganese,0.4,TRUE,23,MN,2018-08-15
Sauk Rapids,L,Treatment Plant,GW,manganese,0.4,TRUE,38.3,MN,2019-06-11
Sauk Rapids,L,Treatment Plant,GW,manganese,0.4,TRUE,2.23,MN,2019-12-03
Mankato,L,Treatment Plant #1,GU,manganese,0.4,TRUE,1.06,MN,2018-10-17
Mankato,L,Treatment Plant #1,GU,manganese,0.4,TRUE,1.2,MN,2019-01-09
Mankato,L,Treatment Plant #1,GU,manganese,0.4,TRUE,0.536,MN,2019-04-29
Mankato,L,Treatment Plant #1,GU,manganese,0.4,TRUE,0.527,MN,2019-07-09
New Ulm,L,Treatment Plant,GW,manganese,0.4,TRUE,12.9,MN,2019-06-18
New Ulm,L,Treatment Plant,GW,manganese,0.4,TRUE,5.02,MN,2019-12-10
Cloquet,L,Well #11 TP,GW,manganese,0.4,TRUE,167,MN,2019-05-20
Cloquet,L,Well #11 TP,GW,manganese,0.4,TRUE,162,MN,2019-11-20
Cloquet,L,Combined Discharge,GW,manganese,0.4,TRUE,7.09,MN,2019-05-20
Cloquet,L,Combined Discharge,GW,manganese,0.4,TRUE,15.9,MN,2019-11-20
Chanhassen,L,Well #8 TP,GW,manganese,0.4,TRUE,7.34,MN,2020-02-13
Chanhassen,L,East Treatment Plant,GW,manganese,0.4,TRUE,24.9,MN,2019-08-12
Chanhassen,L,East Treatment Plant,GW,manganese,0.4,TRUE,21.4,MN,2020-02-13
Chaska,L,Well #7 TP,GW,manganese,0.4,TRUE,541,MN,2018-07-02
Chaska,L,Well #7 TP,GW,manganese,0.4,TRUE,602,MN,2019-02-14
Chaska,L,Treatment Plant (New),GW,manganese,0.4,TRUE,7.9,MN,2018-07-02
Chaska,L,Treatment Plant (New),GW,manganese,0.4,TRUE,2.77,MN,2019-02-14
Waconia,L,Treatment Plant #3,GW,manganese,0.4,TRUE,10.9,MN,2020-01-21
Waconia,L,Treatment Plant #3,GW,manganese,0.4,TRUE,16,MN,2020-07-28
Moorhead,L,Treatment Plant #2,SW,manganese,0.4,TRUE,1.11,MN,2019-11-12
Clearbrook,S,Well #4 Entry Point,GW,manganese,0.4,TRUE,332.38,MN,2020-06-17
Clearbrook,S,Well #4 Entry Point,GW,germanium,0.3,TRUE,0.3,MN,2020-10-07
Clearbrook,S,Well #4 Entry Point,GW,manganese,0.4,TRUE,300.57,MN,2020-10-07
Clearbrook,S,Well #6 Entry Point,GW,manganese,0.4,TRUE,145.785,MN,2020-06-17
Clearbrook,S,Well #6 Entry Point,GW,manganese,0.4,TRUE,137.75,MN,2020-10-07
Brainerd,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.76,MN,2019-05-20
Brainerd,L,Treatment Plant #1,GW,manganese,0.4,TRUE,2.6,MN,2019-10-29
Burnsville,L,Combined Discharge 1 (SWTP and TP #1),SW,manganese,0.4,TRUE,36.7,MN,2019-07-24
Burnsville,L,Combined Discharge 1 (SWTP and TP #1),SW,manganese,0.4,TRUE,8.54,MN,2019-11-25
Burnsville,L,Combined Discharge 1 (SWTP and TP #1),SW,manganese,0.4,TRUE,8.82,MN,2020-01-06
Burnsville,L,Combined Discharge 1 (SWTP and TP #1),SW,manganese,0.4,TRUE,16,MN,2020-06-08
Eagan,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.72,MN,2018-10-30
Eagan,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.877,MN,2019-04-29
Eagan,L,Treatment Plant #2,GW,manganese,0.4,TRUE,0.576,MN,2019-04-29
Farmington,L,Well #1 TP,GW,manganese,0.4,TRUE,83,MN,2019-05-07
Farmington,L,Well #1 TP,GW,manganese,0.4,TRUE,81.7,MN,2019-11-21
Farmington,L,Well #6 TP,GW,manganese,0.4,TRUE,57.7,MN,2019-05-07
Farmington,L,Well #6 TP,GW,manganese,0.4,TRUE,59.7,MN,2019-11-21
Farmington,L,Well #8 TP,GW,manganese,0.4,TRUE,62.9,MN,2020-01-06
Hastings,L,Well #4 TP,GW,manganese,0.4,TRUE,16.3,MN,2018-11-01
Hastings,L,Well #4 TP,GW,manganese,0.4,TRUE,19.3,MN,2019-05-08
Hastings,L,Well #7 TP,GW,manganese,0.4,TRUE,0.495,MN,2018-11-01
Hastings,L,Well #7 TP,GW,manganese,0.4,TRUE,0.554,MN,2019-05-08
Hastings,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.99,MN,2018-11-01
Hastings,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.92,MN,2019-05-08
Inver Grove Heights,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.615,MN,2019-03-12
Lakeville,L,Treatment Plant #1,GW,manganese,0.4,TRUE,2.04,MN,2018-10-02
Rosemount,L,Well #7 TP,GW,manganese,0.4,TRUE,129,MN,2019-03-18
Rosemount,L,Well #7 TP,GW,manganese,0.4,TRUE,106,MN,2019-11-25
Rosemount,L,Well #9 TP,GW,manganese,0.4,TRUE,74.1,MN,2019-03-18
Rosemount,L,Well #9 TP,GW,germanium,0.3,TRUE,0.319,MN,2019-09-12
Rosemount,L,Well #9 TP,GW,manganese,0.4,TRUE,61.3,MN,2019-09-12
Rosemount,L,Well #14 TP,GW,manganese,0.4,TRUE,103,MN,2019-04-29
Rosemount,L,Well #14 TP,GW,manganese,0.4,TRUE,97.3,MN,2019-11-25
Rosemount,L,Rural Well #2 TP,GW,manganese,0.4,TRUE,40.9,MN,2019-03-18
Rosemount,L,Rural Well #2 TP,GW,manganese,0.4,TRUE,28.7,MN,2019-09-12
South Saint Paul,L,Well #1 TP,GW,manganese,0.4,TRUE,61.1,MN,2018-10-18
South Saint Paul,L,Well #1 TP,GW,manganese,0.4,TRUE,62.1,MN,2019-05-07
South Saint Paul,L,Well #3 TP,GW,manganese,0.4,TRUE,29.3,MN,2018-10-18
South Saint Paul,L,Well #3 TP,GW,manganese,0.4,TRUE,28.8,MN,2019-05-07
South Saint Paul,L,Well #4 TP,GW,manganese,0.4,TRUE,11.7,MN,2018-10-18
South Saint Paul,L,Well #4 TP,GW,manganese,0.4,TRUE,11.1,MN,2019-05-07
South Saint Paul,L,Well #8 TP,GW,manganese,0.4,TRUE,51,MN,2018-10-18
South Saint Paul,L,Well #8 TP,GW,manganese,0.4,TRUE,42.2,MN,2019-05-07
Alexandria,L,Treatment Plant #3,GW,manganese,0.4,TRUE,2.36,MN,2018-09-05
Alexandria,L,Treatment Plant #3,GW,manganese,0.4,TRUE,1.06,MN,2019-03-11
Albert Lea,L,N. Treatment Plant,GW,manganese,0.4,TRUE,26.1,MN,2018-11-29
Albert Lea,L,N. Treatment Plant,GW,manganese,0.4,TRUE,29.1,MN,2019-05-30
Albert Lea,L,S. Treatment Plant,GW,manganese,0.4,TRUE,21.1,MN,2018-11-29
Albert Lea,L,S. Treatment Plant,GW,manganese,0.4,TRUE,27.1,MN,2019-05-30
Red Wing,L,Twin Bluff Treatment Plant,GW,manganese,0.4,TRUE,0.426,MN,2019-06-18
Red Wing,L,Twin Bluff Treatment Plant,GW,manganese,0.4,TRUE,0.72,MN,2019-12-03
Red Wing,L,Charlson Crest Treatment Plant,GW,germanium,0.3,TRUE,0.328,MN,2019-12-03
Bloomington,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,1.29,MN,2018-11-26
Bloomington,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.978,MN,2019-02-12
Bloomington,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.975,MN,2019-05-21
Bloomington,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.673,MN,2019-07-24
Bloomington,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.716,MN,2019-05-21
Brooklyn Center,L,Treatment Plant #1,GW,manganese,0.4,TRUE,3.02,MN,2019-07-22
Brooklyn Center,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.61,MN,2020-01-08
Brooklyn Park,L,Treatment Plant #1,GW,manganese,0.4,TRUE,3.86,MN,2019-07-22
Brooklyn Park,L,Treatment Plant #1,GW,manganese,0.4,TRUE,19,MN,2020-01-13
Champlin,L,Treatment Plant #1,GW,manganese,0.4,TRUE,3.08,MN,2019-06-06
Champlin,L,Treatment Plant #2,GW,manganese,0.4,TRUE,2.43,MN,2019-06-06
Champlin,L,Treatment Plant #2,GW,manganese,0.4,TRUE,0.564,MN,2019-12-10
Crystal,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.67,MN,2019-10-08
Crystal,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,2.04,MN,2020-01-08
Crystal,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.838,MN,2020-05-27
Crystal,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,1.59,MN,2020-07-16
Eden Prairie,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.52,MN,2020-02-10
Edina,L,Treatment Plant #2,GW,manganese,0.4,TRUE,24,MN,2018-03-14
Edina,L,Treatment Plant #2,GW,manganese,0.4,TRUE,24.9,MN,2018-09-17
Edina,L,Treatment Plant #3,GW,manganese,0.4,TRUE,60.3,MN,2018-03-14
Edina,L,Treatment Plant #3,GW,manganese,0.4,TRUE,6.95,MN,2018-09-17
Edina,L,Treatment Plant #4,GW,manganese,0.4,TRUE,24.2,MN,2018-04-24
Edina,L,Treatment Plant #4,GW,manganese,0.4,TRUE,13.9,MN,2018-09-17
Edina,L,Treatment Plant #6,GW,manganese,0.4,TRUE,66.6,MN,2018-03-14
Edina,L,Treatment Plant #6,GW,manganese,0.4,TRUE,30.6,MN,2018-09-17
Golden Valley,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,1.08,MN,2018-10-10
Golden Valley,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.952,MN,2019-01-16
Golden Valley,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,2.84,MN,2019-04-18
Golden Valley,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,1.34,MN,2019-07-11
Hopkins,L,Treatment Plant #2,GW,manganese,0.4,TRUE,52.8,MN,2020-02-27
Hopkins,L,Treatment Plant #2,GW,manganese,0.4,TRUE,55.7,MN,2020-08-13
Maple Grove,L,Treatment Plant #1,GW,manganese,0.4,TRUE,6.4,MN,2019-08-13
Maple Grove,L,Treatment Plant #1,GW,manganese,0.4,TRUE,2.01,MN,2020-02-18
Minneapolis,L,Treatment Plant,SW,manganese,0.4,TRUE,1.14,MN,2018-08-07
Minneapolis,L,Treatment Plant,SW,manganese,0.4,TRUE,1.31,MN,2018-11-06
Minnetonka,L,Treatment Plant #12,GW,manganese,0.4,TRUE,15.8,MN,2018-07-23
Minnetonka,L,Treatment Plant #12,GW,manganese,0.4,TRUE,2.21,MN,2019-01-24
Minnetonka,L,Treatment Plant #13,GW,manganese,0.4,TRUE,86.6,MN,2018-07-30
Minnetonka,L,Treatment Plant #13,GW,manganese,0.4,TRUE,7.2,MN,2019-01-24
Minnetonka,L,Treatment Plant #15,GW,manganese,0.4,TRUE,3.76,MN,2018-07-23
Minnetonka,L,Treatment Plant #15,GW,manganese,0.4,TRUE,0.607,MN,2019-01-24
Minnetonka,L,Treatment Plant #16,GW,manganese,0.4,TRUE,5.25,MN,2018-07-23
Minnetonka,L,Treatment Plant #16,GW,manganese,0.4,TRUE,0.408,MN,2019-01-24
New Hope,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,9.92,MN,2019-06-13
New Hope,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,0.894,MN,2019-09-10
New Hope,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,1.59,MN,2020-02-05
New Hope,L,Minneapolis Interconnect,SW,manganese,0.4,TRUE,18,MN,2020-06-01
Plymouth,L,Treatment Plant #1,GW,manganese,0.4,TRUE,11.7,MN,2018-04-24
Plymouth,L,Treatment Plant #1,GW,manganese,0.4,TRUE,2.61,MN,2018-10-01
Plymouth,L,Treatment Plant #2,GW,manganese,0.4,TRUE,5.58,MN,2018-04-24
Plymouth,L,Treatment Plant #2,GW,manganese,0.4,TRUE,3.42,MN,2018-10-01
Richfield,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.427,MN,2020-01-08
Richfield,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.604,MN,2020-07-14
Robbinsdale,L,Treatment Plant 1,GW,manganese,0.4,TRUE,3.86,MN,2020-01-09
Robbinsdale,L,Treatment Plant 1,GW,manganese,0.4,TRUE,3.22,MN,2020-07-15
Robbinsdale,L,Treatment Plant #2,GW,manganese,0.4,TRUE,2.96,MN,2020-01-09
Robbinsdale,L,Treatment Plant #2,GW,manganese,0.4,TRUE,27.2,MN,2020-07-15
Saint Louis Park,L,Treatment Plant #10,GW,manganese,0.4,TRUE,65.6,MN,2018-04-10
Saint Louis Park,L,Treatment Plant #10,GW,manganese,0.4,TRUE,87.1,MN,2018-09-10
Saint Louis Park,L,Treatment Plant #16,GW,manganese,0.4,TRUE,91.2,MN,2018-03-13
Saint Louis Park,L,Treatment Plant #16,GW,manganese,0.4,TRUE,94.1,MN,2018-09-10
Saint Louis Park,L,Treatment Plant #6,GW,manganese,0.4,TRUE,27.5,MN,2018-03-13
Saint Louis Park,L,Treatment Plant #6,GW,manganese,0.4,TRUE,19.7,MN,2018-09-10
Saint Louis Park,L,Treatment Plant #8,GW,manganese,0.4,TRUE,109,MN,2018-03-13
Saint Louis Park,L,Treatment Plant #8,GW,manganese,0.4,TRUE,115,MN,2018-09-10
Saint Louis Park,L,Treatment Plant #1/1G (After Reservoir),GW,manganese,0.4,TRUE,85.9,MN,2018-03-13
Saint Louis Park,L,Treatment Plant #1/1G (After Reservoir),GW,manganese,0.4,TRUE,85.4,MN,2018-09-10
Cambridge,S,Treatment Plant,GW,manganese,0.4,TRUE,1.4,MN,2018-01-22
Cambridge,S,Treatment Plant,GW,manganese,0.4,TRUE,3.705,MN,2018-07-11
Willmar,L,Treatment Plant NE,GW,germanium,0.3,TRUE,0.604,MN,2018-08-15
Willmar,L,Treatment Plant NE,GW,manganese,0.4,TRUE,29.9,MN,2018-08-15
Willmar,L,Treatment Plant NE,GW,manganese,0.4,TRUE,29.8,MN,2019-02-25
Willmar,L,Treatment Plant NE,GW,germanium,0.3,TRUE,0.405,MN,2019-02-25
Willmar,L,Treatment Plant SW,GW,manganese,0.4,TRUE,65.9,MN,2018-08-15
Willmar,L,Treatment Plant SW,GW,manganese,0.4,TRUE,73.9,MN,2019-02-25
Lincoln-Pipestone Rural Water,L,Burr Field Treatment Plant,GW,manganese,0.4,TRUE,18.3,MN,2019-06-10
Lincoln-Pipestone Rural Water,L,Burr Field Treatment Plant,GW,manganese,0.4,TRUE,18.4,MN,2019-12-11
Lincoln-Pipestone Rural Water,L,Holland Field Treatment Plant,GW,manganese,0.4,TRUE,19.4,MN,2019-06-05
Lincoln-Pipestone Rural Water,L,Holland Field Treatment Plant,GW,manganese,0.4,TRUE,39.7,MN,2019-12-04
Lincoln-Pipestone Rural Water,L,Verdi Field Treatment Plant,GW,manganese,0.4,TRUE,4.67,MN,2019-06-05
Lincoln-Pipestone Rural Water,L,Verdi Field Treatment Plant,GW,manganese,0.4,TRUE,18.2,MN,2019-12-04
Marshall,L,Treatment Plant,GW,manganese,0.4,TRUE,10.5,MN,2019-12-09
Marshall,L,Treatment Plant,GW,manganese,0.4,TRUE,15.9,MN,2020-06-03
Minneota,S,Interconnect - Lincoln Pipestone RWS EP,GW,manganese,0.4,TRUE,5.849,MN,2020-06-09
Hutchinson,L,Treatment Plant #1,GW,manganese,0.4,TRUE,0.691,MN,2019-03-11
Hutchinson,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.74,MN,2019-09-04
Sherburn,S,Treatment Plant,GW,1-butanol,2,TRUE,8.784,MN,2018-06-05
Sherburn,S,Treatment Plant,GW,manganese,0.4,TRUE,12.072,MN,2018-06-05
Sherburn,S,Treatment Plant,GW,manganese,0.4,TRUE,0.602,MN,2018-12-04
Princeton,S,Treatment Plant #1,GW,manganese,0.4,TRUE,220.96,MN,2019-05-06
Princeton,S,Treatment Plant #1,GW,manganese,0.4,TRUE,381.15,MN,2019-11-13
Princeton,S,Treatment Plant #2,GW,manganese,0.4,TRUE,0.542,MN,2019-05-06
Austin Utilities,L,Well # 2 TP,GW,manganese,0.4,TRUE,0.452,MN,2019-02-04
Austin Utilities,L,Well #3 TP,GW,manganese,0.4,TRUE,11.8,MN,2018-07-26
Austin Utilities,L,Well #3 TP,GW,manganese,0.4,TRUE,10.5,MN,2019-02-04
Austin Utilities,L,Well #9 TP,GW,manganese,0.4,TRUE,7.63,MN,2018-07-26
Austin Utilities,L,Well #9 TP,GW,manganese,0.4,TRUE,7.45,MN,2019-02-04
Austin Utilities,L,Well #12 TP,GW,manganese,0.4,TRUE,8.15,MN,2018-07-26
Austin Utilities,L,Well #12 TP,GW,manganese,0.4,TRUE,7.58,MN,2019-02-04
North Mankato,L,Treatment Plant #1,GW,manganese,0.4,TRUE,33.9,MN,2019-04-24
North Mankato,L,Treatment Plant #1,GW,manganese,0.4,TRUE,29.2,MN,2019-09-17
North Mankato,L,Treatment Plant #2,GW,manganese,0.4,TRUE,2.12,MN,2019-04-24
North Mankato,L,Treatment Plant #2,GW,manganese,0.4,TRUE,3.24,MN,2019-09-17
Saint Peter,L,St. Julien Street TP,GW,manganese,0.4,TRUE,1.21,MN,2019-02-04
Saint Peter,L,St. Julien Street TP,GW,manganese,0.4,TRUE,1.23,MN,2019-08-20
Worthington Water & Light Commission,L,Treatment Plant,GW,manganese,0.4,TRUE,2.01,MN,2018-09-11
Worthington Water & Light Commission,L,Treatment Plant,GW,manganese,0.4,TRUE,6.96,MN,2019-03-11
Rochester,L,Well #11 TP,GW,manganese,0.4,TRUE,19.4,MN,2020-06-17
Rochester,L,Well #17 TP,GW,manganese,0.4,TRUE,16.9,MN,2020-06-17
Rochester,L,Well #19 TP,GW,manganese,0.4,TRUE,41.5,MN,2020-06-17
Rochester,L,Well #25 TP,GW,manganese,0.4,TRUE,13.9,MN,2020-06-17
Rochester,L,Well #27 TP,GW,manganese,0.4,TRUE,29.4,MN,2020-06-17
Rochester,L,Well #28 TP,GW,manganese,0.4,TRUE,29.8,MN,2020-06-17
Rochester,L,Well #36 TP,GW,manganese,0.4,TRUE,24.5,MN,2020-06-17
Rochester,L,Well #41 TP,GW,manganese,0.4,TRUE,22,MN,2020-06-17
Oronoco,S,Well #1 Entry Point,GW,manganese,0.4,TRUE,15.795,MN,2020-03-02
Oronoco,S,Well #1 Entry Point,GW,manganese,0.4,TRUE,49.114,MN,2020-09-17
Oronoco,S,Well #2 Entry Point,GW,manganese,0.4,TRUE,12.15,MN,2020-03-02
Oronoco,S,Well #2 Entry Point,GW,manganese,0.4,TRUE,12.192,MN,2020-09-17
Fergus Falls,L,Treatment Plant #1,SW,manganese,0.4,TRUE,0.645,MN,2018-10-10
Fergus Falls,L,Treatment Plant #1,SW,manganese,0.4,TRUE,0.532,MN,2019-01-10
Mounds View,L,Treatment Plant #1,GW,manganese,0.4,TRUE,3.44,MN,2018-11-26
Mounds View,L,Treatment Plant #1,GW,1-butanol,2,TRUE,2.1,MN,2019-05-13
Mounds View,L,Treatment Plant #1,GW,manganese,0.4,TRUE,60.9,MN,2019-05-13
Mounds View,L,Treatment Plant #2,GW,manganese,0.4,TRUE,1.86,MN,2018-11-26
Mounds View,L,Treatment Plant #2,GW,manganese,0.4,TRUE,3.37,MN,2019-05-13
Mounds View,L,Treatment Plant #3,GW,manganese,0.4,TRUE,12.7,MN,2018-11-26
Mounds View,L,Treatment Plant #3,GW,manganese,0.4,TRUE,14.3,MN,2019-05-13
North Saint Paul,L,Well #1 TP,GW,manganese,0.4,TRUE,7.05,MN,2019-02-06
North Saint Paul,L,Well #1 TP,GW,manganese,0.4,TRUE,17,MN,2019-08-06
North Saint Paul,L,Well #3 TP,GW,manganese,0.4,TRUE,21.3,MN,2019-02-06
North Saint Paul,L,Well #3 TP,GW,manganese,0.4,TRUE,22.9,MN,2019-08-06
North Saint Paul,L,Well #5 TP,GW,manganese,0.4,TRUE,23.3,MN,2019-02-06
North Saint Paul,L,Well #5 TP,GW,manganese,0.4,TRUE,28.7,MN,2019-08-06
Roseville,L,St. Paul Regional Water Supply Interconnect,SW,manganese,0.4,TRUE,1.01,MN,2019-09-03
Shoreview,L,Treatment Plant,GW,manganese,0.4,TRUE,0.696,MN,2020-01-22
Shoreview,L,Treatment Plant,GW,manganese,0.4,TRUE,0.698,MN,2020-07-13
White Bear Lake,L,Treatment Plant #1,GW,manganese,0.4,TRUE,2.29,MN,2018-09-04
White Bear Township,L,Well #6 TP,GW,manganese,0.4,TRUE,197,MN,2018-10-08
White Bear Township,L,Well #6 TP,GW,manganese,0.4,TRUE,200,MN,2019-04-24
White Bear Township,L,Well #2A TP,GW,manganese,0.4,TRUE,107,MN,2018-10-08
White Bear Township,L,Well #2A TP,GW,manganese,0.4,TRUE,116,MN,2019-04-24
Vadnais Heights,L,Well #2 TP,GW,manganese,0.4,TRUE,53,MN,2018-12-12
Vadnais Heights,L,Well #2 TP,GW,manganese,0.4,TRUE,57.4,MN,2019-06-12
Vadnais Heights,L,Well #4 TP,GW,manganese,0.4,TRUE,37.9,MN,2018-12-12
Vadnais Heights,L,Well #4 TP,GW,manganese,0.4,TRUE,37.3,MN,2019-06-12
Faribault,L,Pump Station,GW,manganese,0.4,TRUE,54.2,MN,2019-06-11
Faribault,L,Pump Station,GW,manganese,0.4,TRUE,72.7,MN,2019-11-19
Northfield,L,Well #2 TP,GW,manganese,0.4,TRUE,40.2,MN,2019-06-20
Northfield,L,Well #2 TP,GW,manganese,0.4,TRUE,28.1,MN,2019-12-17
Northfield,L,Well #4 TP,GW,manganese,0.4,TRUE,119,MN,2019-06-20
Northfield,L,Well #4 TP,GW,manganese,0.4,TRUE,344,MN,2019-12-17
Northfield,L,Well #4 TP,GW,germanium,0.3,TRUE,0.786,MN,2019-12-17
Northfield,L,Well #5 TP,GW,manganese,0.4,TRUE,83.6,MN,2019-06-20
Northfield,L,Well #5 TP,GW,manganese,0.4,TRUE,81,MN,2019-12-17
Buhl,S,Well #1 Entry Point,GW,manganese,0.4,TRUE,3.23,MN,2018-05-22
Buhl,S,Well #1 Entry Point,GW,manganese,0.4,TRUE,3.194,MN,2018-11-06
Chisholm,S,Treatment Plant #1,SW,manganese,0.4,TRUE,1.21,MN,2019-03-11
Chisholm,S,Treatment Plant #1,SW,manganese,0.4,TRUE,1.065,MN,2019-06-12
Chisholm,S,Treatment Plant #1,SW,manganese,0.4,TRUE,0.647,MN,2019-09-04
Chisholm,S,Treatment Plant #1,SW,manganese,0.4,TRUE,0.564,MN,2019-12-04
Duluth,L,Treatment Plant #1,SW,manganese,0.4,TRUE,0.544,MN,2019-04-17
Duluth,L,Treatment Plant #1,SW,manganese,0.4,TRUE,1.07,MN,2019-10-14
Hibbing,L,Scranton Well TP,GW,manganese,0.4,TRUE,2.78,MN,2019-11-25
Hibbing,L,Scranton Well TP,GW,manganese,0.4,TRUE,38.3,MN,2020-07-28
Hibbing,L,Treatment Plant #1,GW,manganese,0.4,TRUE,10.1,MN,2019-11-25
Hibbing,L,Treatment Plant #1,GW,manganese,0.4,TRUE,9.58,MN,2020-06-22
Hibbing,L,Airport Well TP,GW,manganese,0.4,TRUE,35.5,MN,2019-11-25
Hibbing,L,Airport Well TP,GW,germanium,0.3,TRUE,0.31,MN,2019-11-25
Hibbing,L,Airport Well TP,GW,manganese,0.4,TRUE,36.3,MN,2020-06-22
Scenic Acres,S,Well #3 Entry Point,GW,manganese,0.4,TRUE,203.57,MN,2020-06-17
Prior Lake,L,Treatment Plant,GW,manganese,0.4,TRUE,1.14,MN,2018-11-27
Prior Lake,L,Treatment Plant,GW,manganese,0.4,TRUE,0.427,MN,2019-05-21
Savage,L,Treatment Plant #2,GW,1-butanol,2,TRUE,3.44,MN,2018-05-29
Savage,L,Treatment Plant #2,GW,2-propen-1-ol,0.5,TRUE,1.01,MN,2018-05-29
Savage,L,Treatment Plant #2,GW,manganese,0.4,TRUE,2.42,MN,2018-05-29
Savage,L,Treatment Plant #3,GW,manganese,0.4,TRUE,0.412,MN,2019-06-18
Shakopee,L,Well #2 TP,GW,manganese,0.4,TRUE,0.626,MN,2018-09-26
Shakopee,L,Well #2 TP,GW,manganese,0.4,TRUE,1.85,MN,2019-05-09
Shakopee,L,Well #8 TP,GW,manganese,0.4,TRUE,0.617,MN,2018-09-26
Shakopee,L,Well #17 TP,GW,manganese,0.4,TRUE,35.6,MN,2018-11-07
Shakopee,L,Well #17 TP,GW,manganese,0.4,TRUE,45.5,MN,2019-03-07
Shakopee,L,Combined Discharge 2,GW,manganese,0.4,TRUE,51.8,MN,2018-09-27
Big Lake,L,Treatment Plant #1,GW,manganese,0.4,TRUE,10.6,MN,2018-07-11
Big Lake,L,Treatment Plant #1,GW,manganese,0.4,TRUE,1.07,MN,2019-01-23
Elk River,L,Treatment Plant #3,GW,manganese,0.4,TRUE,0.719,MN,2019-04-29
Elk River,L,Treatment Plant #4,GW,manganese,0.4,TRUE,0.603,MN,2019-10-30
Elk River,L,Treatment Plant #7,GW,manganese,0.4,TRUE,0.812,MN,2019-04-29
Saint Cloud,L,Treatment Plant #1,SW,manganese,0.4,TRUE,1,MN,2019-12-16
Saint Cloud,L,Treatment Plant #1,SW,manganese,0.4,TRUE,3.58,MN,2020-02-26
Saint Cloud,L,Treatment Plant #1,SW,manganese,0.4,TRUE,13.8,MN,2020-05-19
Saint Cloud,L,Treatment Plant #1,SW,manganese,0.4,TRUE,6.47,MN,2020-08-05
Sartell,L,Treatment Plant #2,GW,manganese,0.4,TRUE,1.56,MN,2018-05-07
